INSTNM,STABBR
Jefferson Regional Medical Center School of Nursing,AR
John Brown University,AR
Lees School of Cosmetology,AR
Career Academy of Hair Design,AR
Academy of Salon and Spa,AR
Arkansas State University Mid-South,AR
Arkansas Northeastern College,AR
Margaret's Hair Academy Inc,AR
New Tyler Barber College Inc,AR
North Arkansas College,AR
Northwest Technical Institute,AR
Ouachita Baptist University,AR
College of the Ouachitas,AR
Ozarka College,AR
University of the Ozarks,AR
University of Arkansas Community College-Morrilton,AR
Philander Smith College,AR
Phillips Community College of the University of Arkansas,AR
Southeast Arkansas College,AR
Professional Cosmetology Education Center,AR
Pulaski Technical College,AR
University of Arkansas Community College-Hope,AR
Rich Mountain Community College,AR
Paul Mitchell the School-Arkansas,AR
Searcy Beauty College,AR
Shorter College,AR
Williams Baptist College,AR
South Arkansas Community College,AR
Southern Arkansas University Main Campus,AR
Southern Arkansas University Tech,AR
Velvatex College of Beauty Culture,AR
University of Arkansas-Fort Smith,AR
Academy of Art University,CA
ITT Technical Institute-Rancho Cordova,CA
Academy of Chinese Culture and Health Sciences,CA
The Academy of Radio and TV Broadcasting,CA
Avalon School of Cosmetology-Alameda,CA
College of Alameda,CA
Allan Hancock College,CA
American Academy of Dramatic Arts-Los Angeles,CA
American Baptist Seminary of the West,CA
American Film Institute Conservatory,CA
American Beauty College,CA
American Career College-Los Angeles,CA
American Conservatory Theater,CA
American River College,CA
Antelope Valley College,CA
Art Center College of Design,CA
Associated Technical College-Los Angeles,CA
Associated Technical College-San Diego,CA
Azusa Pacific University,CA
Bakersfield College,CA
Barstow Community College,CA
Bellus Academy-National City,CA
Bethesda University,CA
Biola University,CA
Brooks Institute,CA
Brownson Technical School,CA
Bryan University,CA
Butte College,CA
Phillips Graduate Institute,CA
California Institute of Integral Studies,CA
Cabrillo College,CA
California Baptist University,CA
California College of the Arts,CA
University of California-Hastings College of Law,CA
California Institute of Technology,CA
California Lutheran University,CA
California Polytechnic State University-San Luis Obispo,CA
Alliant International University-San Diego,CA
California State University-Bakersfield,CA
California State University-Stanislaus,CA
California State University-San Bernardino,CA
California State Polytechnic University-Pomona,CA
California State University-Chico,CA
California State University-Dominguez Hills,CA
California State University-Fresno,CA
California State University-Fullerton,CA
California State University-East Bay,CA
California State University-Long Beach,CA
California State University-Los Angeles,CA
California State University-Northridge,CA
California State University-Sacramento,CA
University of California-Berkeley,CA
University of California-Davis,CA
University of California-Irvine,CA
University of California-Los Angeles,CA
University of California-Riverside,CA
University of California-San Diego,CA
University of California-San Francisco,CA
University of California-Santa Barbara,CA
University of California-Santa Cruz,CA
Sofia University,CA
California Beauty School,CA
California Christian College,CA
Le Cordon Bleu College of Culinary Arts-San Francisco,CA
California Hair Design Academy,CA
California Institute of the Arts,CA
The California Maritime Academy,CA
California Western School of Law,CA
Canada College,CA
College of the Canyons,CA
Career Academy of Beauty,CA
Casa Loma College-Van Nuys,CA
CET-San Diego,CA
CET-Sobrato,CA
CET-El Centro,CA
CET-San Bernardino,CA
CET-Watsonville,CA
CET-Salinas,CA
Cerritos College,CA
Cerro Coso Community College,CA
Chabot College,CA
Chaffey College,CA
Chapman University,CA
Charles R Drew University of Medicine and Science,CA
Concordia University-Irvine,CA
San Diego Christian College,CA
Church Divinity School of the Pacific,CA
Citrus College,CA
Citrus Heights Beauty College,CA
City College of San Francisco,CA
Claremont Graduate University,CA
Claremont McKenna College,CA
Milan Institute-Visalia,CA
Clovis Adult Education,CA
Coastline Community College,CA
Cogswell College,CA
Coleman University,CA
COBA Academy,CA
Western University of Health Sciences,CA
Columbia College,CA
Columbia College-Hollywood,CA
El Camino College-Compton Center,CA
Contra Costa College,CA
Cosumnes River College,CA
Crafton Hills College,CA
Cuesta College,CA
Cuyamaca College,CA
Cypress College,CA
De Anza College,CA
Marinello Schools of Beauty-Hemet,CA
International School of Beauty Inc,CA
Dell'Arte International School of Physical Theatre,CA
College of the Desert,CA
Design Institute of San Diego,CA
Diablo Valley College,CA
Dominican University of California,CA
Dominican School of Philosophy & Theology,CA
East Los Angeles College,CA
Marinello Schools of Beauty-Santa Clara,CA
El Camino Community College District,CA
Elegance International,CA
Marinello Schools of Beauty-Burbank,CA
Marinello Schools of Beauty-Moreno Valley,CA
Emperor's College of Traditional Oriental Medicine,CA
Empire College,CA
Evergreen Valley College,CA
Fashion Institute of Design & Merchandising-Los Angeles,CA
Fashion Institute of Design & Merchandising-San Francisco,CA
Fashion Institute of Design & Merchandising-Orange County,CA
Feather River Community College District,CA
Federico Beauty Institute,CA
Fielding Graduate University,CA
Five Branches University,CA
Redondo Beach Beauty College,CA
Foothill College,CA
Franciscan School of Theology,CA
Fredrick and Charles Beauty College,CA
Fresno City College,CA
Fresno Pacific University,CA
Fuller Theological Seminary in California,CA
Fullerton College,CA
Gavilan College,CA
Gemological Institute of America-Carlsbad,CA
Glendale Community College,CA
Glendale Career College,CA
Golden Gate University-San Francisco,CA
Golden West College,CA
Graduate Theological Union,CA
Grossmont College,CA
Salon Success Academy-Riverside,CA
Hartnell College,CA
Harvey Mudd College,CA
Heald College-Rancho Cordova,CA
Heald College-Fresno,CA
Heald College-San Jose,CA
Heald College-San Francisco,CA
Heald College-Concord,CA
Hilltop Beauty School,CA
Holy Names University,CA
Pacifica Graduate Institute,CA
Humboldt State University,CA
Humphreys College-Stockton and Modesto Campuses,CA
Imperial Valley College,CA
Institute for Business and Technology,CA
Interior Designers Institute,CA
Toni & Guy Hairdressing Academy-Santa Monica,CA
Irvine Valley College,CA
ITT Technical Institute-National City,CA
ITT Technical Institute-San Dimas,CA
ITT Technical Institute-Orange,CA
Bellus Academy-El Cajon,CA
John F. Kennedy University,CA
American Jewish University,CA
Reedley College,CA
Life Pacific College,CA
Argosy University-The Art Institute of California-San Diego,CA
University of La Verne,CA
Laguna College of Art and Design,CA
Lake Tahoe Community College,CA
Lancaster Beauty School,CA
Laney College,CA
Lassen Community College,CA
Life Chiropractic College West,CA
Lincoln University,CA
Southern California Seminary,CA
La Sierra University,CA
Loma Linda University,CA
Long Beach City College,CA
Southern California University of Health Sciences,CA
Los Angeles Harbor College,CA
Los Angeles Pierce College,CA
Los Angeles Southwest College,CA
Los Angeles Trade Technical College,CA
Los Angeles Valley College,CA
The Master's College and Seminary,CA
Los Angeles City College,CA
Los Angeles County College of Nursing and Allied Health,CA
Los Angeles Mission College,CA
Los Medanos College,CA
Argosy University-The Art Institute of California-San Francisco,CA
Loyola Marymount University,CA
Lu Ross Academy,CA
Manchester Beauty College,CA
Tulare Beauty College,CA
Lyles Fresno College of Beauty,CA
Lytles Redwood Empire Beauty College Inc,CA
MTI Business College Inc,CA
MTI College,CA
Brightwood College-Sacramento,CA
Brightwood College-San Diego,CA
Brightwood College-Vista,CA
College of Marin,CA
Marinello Schools of Beauty-Los Angeles,CA
Marymount California University,CA
Mendocino College,CA
Menlo College,CA
Merced College,CA
Merritt College,CA
Mills College,CA
MiraCosta College,CA
Marinello Schools of Beauty-San Francisco,CA
Mission College,CA
Modern Beauty Academy,CA
Brightwood College-North Hollywood,CA
Modesto Junior College,CA
Moler Barber College,CA
Middlebury Institute of International Studies at Monterey,CA
Monterey Peninsula College,CA
Moorpark College,CA
Mt San Antonio College,CA
Mount Saint Mary's University,CA
Mt San Jacinto Community College District,CA
Mueller College,CA
Musicians Institute,CA
Napa Valley College,CA
Everest College-Reseda,CA
Everest College-Gardena,CA
Everest College-Alhambra,CA
Everest College-San Bernardino,CA
The National Hispanic University,CA
National Holistic Institute,CA
National University,CA
Newschool of Architecture and Design,CA
Newberry School of Beauty,CA
North Adrian's College of Beauty Inc,CA
North-West College-Pomona,CA
North-West College-West Covina,CA
North-West College-Pasadena,CA
Notre Dame de Namur University,CA
Occidental College,CA
Oceanside College of Beauty,CA
Ohlone College,CA
Orange Coast College,CA
Otis College of Art and Design,CA
Oxnard College,CA
Hope International University,CA
Concorde Career College-San Diego,CA
Palo Alto University,CA
Pacific Lutheran Theological Seminary,CA
Pacific Oaks College,CA
Pacific School of Religion,CA
Pacific States University,CA
Pacific Union College,CA
University of the Pacific,CA
Palo Verde College,CA
Palomar College,CA
Paris Beauty College,CA
Pasadena City College,CA
Pepperdine University,CA
Pitzer College,CA
Platt College-San Diego,CA
Point Loma Nazarene University,CA
Pomona College,CA
Porterville College,CA
Westwood College-South Bay,CA
Professional Institute of Beauty,CA
Santa Ana College,CA
Pardee RAND Graduate School,CA
Shasta School of Cosmetology,CA
University of Redlands,CA
College of the Redwoods,CA
Salon Success Academy-Upland,CA
Salon Success Academy-Corona,CA
Rio Hondo College,CA
Riverside City College,CA
Argosy University-San Francisco Bay Area,CA
Rosemead Beauty School,CA
Dongguk University-Los Angeles,CA
Rudolf Steiner College,CA
Sacramento City College,CA
Saddleback College,CA
Samuel Merritt University,CA
San Diego City College,CA
Golf Academy of America-Carlsbad,CA
San Diego Mesa College,CA
San Diego Miramar College,CA
San Diego State University,CA
University of San Diego,CA
San Francisco Art Institute,CA
San Francisco Conservatory of Music,CA
San Francisco State University,CA
San Francisco Theological Seminary,CA
University of San Francisco,CA
San Joaquin College of Law,CA
San Joaquin Delta College,CA
San Joaquin Valley College-Visalia,CA
William Jessup University,CA
San Jose City College,CA
San Jose State University,CA
College of San Mateo,CA
Santa Barbara Business College-Bakersfield,CA
Westwood College-Los Angeles,CA
Santa Barbara Business College-Santa Maria,CA
Santa Barbara City College,CA
Santa Clara University,CA
Santa Monica College,CA
Santa Rosa Junior College,CA
Saybrook University,CA
Scripps College,CA
Wyotech-Fremont,CA
College of the Sequoias,CA
Shasta Bible College and Graduate School,CA
Shasta College,CA
Sierra College,CA
Sierra College of Beauty,CA
Sierra Valley College of Court Reporting,CA
Trinity Law School,CA
Simpson University,CA
College of the Siskiyous,CA
Charles A Jones Career and Education Center,CA
Skyline College,CA
San Bernardino Valley College,CA
Saint Mary's College of California,CA
Solano Community College,CA
Sonoma State University,CA
Pinnacle College,CA
South Baylo University,CA
South Coast College,CA
Vanguard University of Southern California,CA
Concorde Career College-Garden Grove,CA
Southwestern College,CA
Starr King School for the Ministry,CA
Marshall B Ketchum University,CA
Southern California Institute of Architecture,CA
University of Southern California,CA
Southwestern Law School,CA
Taft College,CA
Claremont School of Theology,CA
Thomas Aquinas College,CA
Marinello Schools of Beauty-Lake Forest,CA
Epic Bible College,CA
United Education Institute-Huntington Park Campus,CA
Concorde Career College-San Bernardino,CA
Universal College of Beauty Inc-Los Angeles 1,CA
Concorde Career College-North Hollywood,CA
Ventura College,CA
Victor Valley Beauty College Inc,CA
Victor Valley College,CA
Berkeley City College,CA
Walden University,MN
Waynes College of Beauty,CA
West Hills College-Coalinga,CA
West Los Angeles College,CA
West Valley College,CA
Carrington College-Sacramento,CA
Westminster Theological Seminary in California,CA
Westmont College,CA
Whittier College,CA
Woodbury University,CA
The Wright Institute,CA
Western State College of Law at Argosy University,CA
Thomas Jefferson School of Law,CA
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,CA
Yuba College,CA
The Salon Professional Academy-Grand Junction,CO
Adams State University,CO
Aims Community College,CO
Arapahoe Community College,CO
Bel-Rea Institute of Animal Technology,CO
Everest College-Colorado Springs,CO
University of Colorado Denver/Anschutz Medical Campus,CO
University of Colorado Colorado Springs,CO
Redstone College,CO
University of Colorado Boulder,CO
Colorado Christian University,CO
Colorado College,CO
Concorde Career College-Aurora,CO
The Art Institute of Colorado,CO
Colorado Mountain College,CO
Colorado Northwestern Community College,CO
Colorado School of Mines,CO
Colorado School of Trades,CO
Colorado State University-Fort Collins,CO
Colorado Technical University-Colorado Springs,CO
Empire Beauty School-Lakewood,CO
Community College of Aurora,CO
CollegeAmerica-Denver,CO
Delta Montrose Technical College,CO
Prince Institute-Rocky Mountains,CO
Community College of Denver,CO
Lincoln College of Technology-Denver,CO
Denver Seminary,CO
Westwood College-Denver North,CO
University of Denver,CO
Emily Griffith Technical College,CO
Fort Lewis College,CO
Front Range Community College,CO
Glenwood Beauty Academy,CO
Hair Dynamics Education Center,CO
Iliff School of Theology,CO
International Salon and Spa Academy,CO
Lamar Community College,CO
Colorado Mesa University,CO
Metropolitan State University of Denver,CO
Morgan Community College,CO
Naropa University,CO
National American University-Colorado Springs,CO
National American University-Denver,CO
Nazarene Bible College,CO
Northeastern Junior College,CO
University of Northern Colorado,CO
Otero Junior College,CO
Everest College-Thornton,CO
Pikes Peak Community College,CO
IBMC College,CO
Pueblo Community College,CO
Red Rocks Community College,CO
Regis University,CO
Rocky Mountain College of Art and Design,CO
Montessori Education Center of the Rockies,CO
Colorado State University-Pueblo,CO
Pickens Technical College,CO
Intellitec College-Colorado Springs,CO
Intellitec College-Grand Junction,CO
Trinidad State Junior College,CO
Empire Beauty School-Thornton,CO
Western State Colorado University,CO
Albertus Magnus College,CT
Paul Mitchell the School-Danbury,CT
Asnuntuck Community College,CT
Branford Hall Career Institute-Branford Campus,CT
Lincoln College of New England-Southington,CT
Bridgeport Hospital School of Nursing,CT
University of Bridgeport,CT
Central Connecticut State University,CT
Charter Oak State College,CT
Connecticut Center for Massage Therapy-Newington,CT
Connecticut College,CT
Marinello Schools of Beauty-East Hartford,CT
Porter and Chester Institute of Branford,CT
University of Connecticut,CT
Goodwin College,CT
Lincoln Technical Institute-East Windsor,CT
Eastern Connecticut State University,CT
Fairfield University,CT
Paul Mitchell the School-North Haven,CT
Capital Community College,CT
Rensselaer Hartford Graduate Center Inc,CT
American Institute-West Hartford,CT
Hartford Seminary,CT
University of Hartford,CT
Holy Apostles College and Seminary,CT
Housatonic Community College,CT
Lyme Academy College of Fine Arts,CT
Manchester Community College,CT
Naugatuck Valley Community College,CT
Middlesex Community College,CT
Mitchell College,CT
Three Rivers Community College,CT
Lincoln Technical Institute-New Britain,CT
New England Tractor Trailer Training School of Connecticut,CT
University of New Haven,CT
Ridley-Lowell Business & Technical Institute-New London,CT
Norwalk Community College,CT
Northwestern Connecticut Community College,CT
Paier College of Art Inc,CT
Marinello Schools of Beauty-Meriden,CT
Porter and Chester Institute of Stratford,CT
Post University,CT
Quinebaug Valley Community College,CT
Quinnipiac University,CT
Sacred Heart University,CT
University of Saint Joseph,CT
Gateway Community College,CT
St Vincent's College,CT
Southern Connecticut State University,CT
Stone Academy-Hamden,CT
Tri-State College of Acupuncture,NY
Trinity College,CT
Tunxis Community College,CT
Wesleyan University,CT
Western Connecticut State University,CT
Yale-New Haven Hospital Dietetic Internship,CT
Yale University,CT
Margaret H Rollins School of Nursing at Beebe Medical Center,DE
Dawn Career Institute Inc,DE
Delaware Technical Community College-Owens,DE
Delaware Technical Community College-Terry,DE
Delaware Technical Community College-Stanton/Wilmington,DE
Delaware State University,DE
University of Delaware,DE
Goldey-Beacom College,DE
Schilling-Douglas School of Hair Design LLC,DE
Wesley College,DE
Wilmington University,DE
American University,DC
Catholic University of America,DC
University of the District of Columbia,DC
Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,DC
Gallaudet University,DC
George Washington University,DC
Georgetown University,DC
Howard University,DC
Medtech Institute,VA
Strayer University-District of Columbia,DC
National Conservatory of Dramatic Arts,DC
Trinity Washington University,DC
Wesley Theological Seminary,DC
Wyotech-Daytona,FL
The Art Institute of Fort Lauderdale,FL
Atlantic Technical College,FL
The Baptist College of Florida,FL
Barry University,FL
Gooding Institute of Nurse Anesthesia,FL
Bethune-Cookman University,FL
Lynn University,FL
GUTI The Premier Beauty & Wellness Academy,FL
Bradford-Union Technical Center,FL
Eastern Florida State College,FL
Broward College,FL
Fortis College-Winter Park,FL
Carlos Albizu University-Miami,FL
College of Central Florida,FL
Johnson University Florida,FL
University of Central Florida,FL
Charlotte Technical Center,FL
Chipola College,FL
Clearwater Christian College,FL
Lorenzo Walker Technical College,FL
Daytona State College,FL
South University-West Palm Beach,FL
Eckerd College,FL
Florida SouthWestern State College,FL
Edward Waters College,FL
Embry-Riddle Aeronautical University-Daytona Beach,FL
Florida Agricultural and Mechanical University,FL
Florida Atlantic University,FL
Florida State College at Jacksonville,FL
Flagler College-St Augustine,FL
Florida College,FL
Concorde Career Institute-Jacksonville,FL
Concorde Career Institute-Miramar,FL
Concorde Career Institute-Tampa,FL
Adventist University of Health Sciences,FL
Florida Institute of Technology,FL
Florida Institute of Ultrasound Inc,FL
Florida International University,FL
Florida Keys Community College,FL
Florida Memorial University,FL
Florida Career College-Miami,FL
Florida School of Massage,FL
Florida Southern College,FL
Florida State University,FL
Florida Technical College,FL
University of Southernmost Florida,FL
University of Florida,FL
Everest University-Pompano Beach,FL
Fort Pierce Beauty Academy,FL
Full Sail University,FL
George Stone Technical Center,FL
George T Baker Aviation Technical College,FL
Gulf Coast State College,FL
Key College,FL
Hillsborough Community College,FL
Hobe Sound Bible College,FL
Hollywood Institute of Beauty Careers,FL
Cortiva Institute-Florida,FL
Indian River State College,FL
Sanford-Brown College-Tampa,FL
International Academy,FL
AI Miami International University of Art and Design,FL
ITT Technical Institute-Tampa,FL
Jacksonville University,FL
Jones College-Jacksonville,FL
Keiser University-Ft Lauderdale,FL
Heritage Institute-Ft Myers,FL
La Belle Beauty School,FL
Florida Gateway College,FL
Lake Technical College,FL
Lake-Sumter State College,FL
Fort Myers Technical College,FL
Lively Technical Center,FL
Lindsey Hopkins Technical College,FL
Loraines Academy & Spa,FL
Luther Rice University & Seminary,GA
State College of Florida-Manatee-Sarasota,FL
Manatee Technical College,FL
Manhattan Hairstyling Academy,FL
Traviss Career Center,FL
Merryfield School of Pet Grooming,FL
Trinity International University-Florida,FL
Miami Lakes Educational Center and Technical College,FL
Miami Dade College,FL
University of Miami,FL
Orange Technical College-Mid Florida Campus,FL
Beauty Schools of America-Miami,FL
Remington College-Tampa Campus,FL
Everest Institute-North Miami,FL
Academy of Palm Beach,FL
Lincoln College of Technology-West Palm Beach,FL
Paul Mitchell the School-Jacksonville,FL
North Florida Community College,FL
University of North Florida,FL
Northwood University-Florida,FL
Nova Southeastern University,FL
Northwest Florida State College,FL
Everest University-North Orlando,FL
Orange Technical College-Orlando Campus,FL
Palm Beach Atlantic University,FL
Palm Beach State College,FL
Pasco-Hernando State College,FL
Pensacola State College,FL
Pinellas Technical College-Clearwater,FL
Polk State College,FL
Radford M Locklin Technical Center,FL
Saint Vincent de Paul Regional Seminary,FL
Ridge Career Center,FL
Ringling College of Art and Design,FL
Robert Morgan Educational Center and Technical College,FL
Rollins College,FL
First Coast Technical College,FL
Saint Leo University,FL
St Petersburg College,FL
Pinellas Technical College-St. Petersburg,FL
Santa Fe College,FL
Suncoast Technical College,FL
Argosy University-Sarasota,FL
Seminole State College of Florida,FL
Sheridan Technical College,FL
Saint John Vianney College Seminary,FL
Saint Johns River State College,FL
South Florida State College,FL
University of South Florida-Main Campus,FL
St Thomas University,FL
Stenotype Institute of Jacksonville Inc-Jacksonville,FL
Stetson University,FL
Southeastern University,FL
Benes International School of Beauty,FL
RIVEROAK Technical College,FL
Tallahassee Community College,FL
Talmudic College of Florida,FL
Everest University-Tampa,FL
Everest University-Largo,FL
The University of Tampa,FL
Taylor Technical Institute,FL
Tom P Haney Technical Center,FL
Trinity Baptist College,FL
Trinity College of Florida,FL
Fashion Focus Hair Academy,FL
Valencia College,FL
Warner University,FL
Florida Panhandle Technical College,FL
Webber International University,FL
Rasmussen College-Florida,FL
The University of West Florida,FL
Orange Technical College-Westside Campus,FL
William T McFatter Technical College,FL
Orange Technical College-Winter Park Campus,FL
Withlacoochee Technical Institute,FL
Abraham Baldwin Agricultural College,GA
Agnes Scott College,GA
Interactive College of Technology-Chamblee,GA
Interactive College of Technology-Morrow,GA
Albany Technical College,GA
Darton State College,GA
Albany State University,GA
Andrew College,GA
Armstrong State University,GA
The Art Institute of Atlanta,GA
Georgia Career Institute,GA
Atlanta Technical College,GA
Point University,GA
Atlanta Metropolitan State College,GA
Atlanta's John Marshall Law School,GA
Atlanta School of Massage,GA
Clark Atlanta University,GA
Augusta Technical College,GA
Bainbridge State College,GA
Bauder College,GA
Beauty College of America,GA
Berry College,GA
Beulah Heights University,GA
Brenau University,GA
Brewton-Parker College,GA
Brown College of Court Reporting,GA
College of Coastal Georgia,GA
West Georgia Technical College,GA
Carver Bible College,GA
Clayton  State University,GA
Columbia Theological Seminary,GA
Columbus Technical College,GA
Columbus State University,GA
Georgia Northwestern Technical College,GA
Covenant College,GA
Dalton State College,GA
Pro Way Hair School,GA
South University-Savannah,GA
East Georgia State College,GA
Emmanuel College,GA
Emory University,GA
Georgia Highlands College,GA
Fort Valley State University,GA
Grady Health System Professional Schools,GA
Georgia Institute of Technology-Main Campus,GA
Georgia Southwestern State University,GA
Georgia College and State University,GA
Georgia Southern University,GA
Georgia State University,GA
University of Georgia,GA
Gordon State College,GA
Southern Crescent Technical College,GA
Gupton Jones College of Funeral Service,GA
Gwinnett College-Lilburn,GA
Gwinnett Technical College,GA
Interdenominational Theological Center,GA
Kennesaw State University,GA
LaGrange College,GA
Lanier Technical College,GA
Life University,GA
Chattahoochee Technical College,GA
Herzing University-Atlanta,GA
Mercer University,GA
Morehouse College,GA
Morehouse School of Medicine,GA
Moultrie Technical College,GA
North Georgia Technical College,GA
Oglethorpe University,GA
Paine College,GA
Piedmont College,GA
Portfolio Center,GA
Reinhardt University,GA
Savannah Technical College,GA
Savannah College of Art and Design,GA
Savannah State University,GA
Shorter University,GA
South Georgia Technical College,GA
The Creative Circus,GA
Spelman College,GA
Southern Polytechnic State University,GA
Southwest Georgia Technical College,GA
Thomas University,GA
Toccoa Falls College,GA
Truett-McConnell College,GA
Wiregrass Georgia Technical College,GA
Valdosta State University,GA
Wesleyan College,GA
University of West Georgia,GA
Young Harris College,GA
Heald College-Honolulu,HI
Chaminade University of Honolulu,HI
University of Hawaii at Hilo,HI
University of Hawaii at Manoa,HI
Hawaii Institute of Hair Design,HI
Hawaii Pacific University,HI
Honolulu Community College,HI
Kapiolani Community College,HI
Kauai Community College,HI
Leeward Community College,HI
University of Hawaii Maui College,HI
Med-Assist School of Hawaii Inc,HI
World Medicine Institute,HI
Travel Institute of the Pacific,HI
University of Hawaii-West Oahu,HI
Windward Community College,HI
Carrington College-Boise,ID
Boise Bible College,ID
Boise State University,ID
Eastern Idaho Technical College,ID
Idaho State University,ID
University of Idaho,ID
The College of Idaho,ID
Lewis-Clark State College,ID
ITT Technical Institute-Boise,ID
Aveda Institute-Twin Falls,ID
Mr Leon's School of Hair Design-Moscow,ID
North Idaho College,ID
Northwest Nazarene University,ID
The School of Hairstyling,ID
Brigham Young University-Idaho,ID
College of Southern Idaho,ID
Adler University,IL
Alvareitas College of Cosmetology-Edwardsville,IL
Alvareitas College of Cosmetology-Godfrey,IL
American Academy of Art,IL
School of the Art Institute of Chicago,IL
Augustana College,IL
Aurora University,IL
Tricoci University of Beauty Culture-Urbana,IL
Southwestern Illinois College,IL
Bethany Theological Seminary,IN
Black Hawk College,IL
Blackburn College,IL
Blessing Rieman College of Nursing,IL
Blessing Hospital School of Radiologic Technology,IL
Bradley University,IL
Paul Mitchell the School-Bradley,IL
Cameo Beauty Academy,IL
Cannella School of Hair Design-Villa Park,IL
Cannella School of Hair Design-Chicago,IL
